txid	host_txids	host_names	diseases
2704031	314275	Alteromonas mediterranea	
2492447	28108	Alteromonas macleodii	
2886894	9534;10090	Chlorocebus aethiops;Mus musculus	
241651	63459;56196;221775;1053327	Gomphrena globosa;Amaranthus deflexus;Amaranthus viridis;Chenopodium quinoa	
284689	4751	Fungi	
1195163	44989	Eucharis x grandiflora	
1926500	9534;2746633	Phlebotominae sp.;Chlorocebus aethiops	
1417304	29715	Ambrosia psilostachya	
217733	7962;215237	Cyprinus carpio;Ambystoma mavortium stebbinsi	
265294	8305	Ambystoma tigrinum	
1908805	9649	Ailurus fulgens	
1344113	29078	Eptesicus fuscus	
465447	90988;7959;28800	Notemigonus crysoleucas;Pimephales promelas;Ctenopharyngodon idella	
1177630	3486	Humulus lupulus	
134632	88123	Prunus salicina	
1941435	1	root	
1941436	1	root	
188539	9606;9031;10092;10114	Homo sapiens;Gallus gallus;Mus musculus domesticus;Rattus	
1661395	8324	Lissotriton vulgaris	
28321	56594;340055;13123	Amsacta;Lymantria dispar;Estigmene acrea	
1357732	103690	Nostoc sp. PCC 7120 = FACHB-418	
1529450	51876;9031;9823;9986;10036;9615;9606;7160;9838;9685;9913;9534;9544;10116;10090	Chlorocebus aethiops;Mesocricetus auratus;Eunectes murinus;Camelus dromedarius;Bos taurus;Aedes albopictus;Homo sapiens;Felis catus;Gallus gallus;Oryctolagus cuniculus;Sus scrofa;Rattus norvegicus;Macaca mulatta;Canis lupus familiaris;Mus musculus	
